booking_id,hotel_id,customer_id,full_name,email,phone_number,booking_date,checkin_date,checkout_date,room_type,room_rate,num_guests,booking_channel,booking_status,payment_status,payment_method,tax_amount,discount_amount,city,state,country
BKG000001,HTL022,CUST31301,Neha  Tiwari,nehatiwari@,6193978145,15/05/2024,24 Jan 2025,07-02-2025,Standard,1307,5,OTA-MakeMyTrip,CONFIRMED,PAId,Cash,235,21.7,Channai,Tamilnadu,India
BKG000002,HTL030,CUST30614,Manoj Agarwal  ,manoj.agarwal@mail,7260119391,"June 22, 2023","April 16, 2024",04/20/2024,delux,"2,843.00",4,AGODA,Canceled,Paid,credit card,null,471.4,CHENNAI,Tamil Nadu,India
BKG000003,HTL032,CUST53842,NEHA IYER,NA,77135O9693,11/21/2023,2024-01-22,27/01/2024,DELUXE,Rs 2417,1,MakeMyTrip,cnfrmd,paid,Wallt,435.06,INR345.45,Calcutta,West Bengal,India
BKG000004,HTL016,CUST07750,Ajay Nair,ajay.nair@rediffmail,6283772702,"September 26, 2024",16-03-2025,23/03/2025,Standerd, 1699 ,6,Walk-in,confirmed,PAID,NET BANKING,305.82, 193.04 ,Hydrabad,Telangana,India
BKG000005,HTL017,CUST49969,Neha Reddy,neha.reddy@outlook.com,+916388027304,2023-07-13,09 Feb 2024,10/02/24,standard, 1531 ,2,OTA-Booking.com,Canceled,Pendig,Upi,INR275.58,Rs 194.32,HYDERABAD,Telangana,India
BKG000006,HTL012,CUST19937,  Naveen Tiwari,naveen..tiwari@mail.com,INVALID,2024-03-25,21-10-2024,03-11-2024,Standard,1466,N/A,Mobile App,no-show,P A I D,Cash,263.88,INR203.82,Kolkata,W Bengal,India
BKG000007,HTL015,CUST04853,Harish Das  ,HARISH.DAS@YAHOO.COM,9477041309,"July 15, 2024",29 Oct 2024,2024-11-07,Standerd,1705.00,3,makemytrip,No-show,FAILED,upi, 306.9 ,INR70.09,Delhi,NCT Delhi,India
BKG000008,HTL005,CUST05440,Rajesh Das,,8193245381,20/12/2024,2025-03-17,31 Mar 2025,Delux,2941,3,walk-in,CONFIRMED,PAId,Upi,N/A,383,Bengluru,KARNATAKA,India
BKG000009,HTL044,CUST57712,MEERA RAO,NA,N/A,19/09/2023,04/14/2024,2024-04-17,Standard, 1505 ,,agoda,Confirm,Pai d,wallet,270.9,238.83,Kolkata,WEST BENGAL,India
BKG000010,HTL030,CUST07487,Vikas Chatterjee,vikas.chatterjee@mail,INVALID,14-09-2024,02/04/25,15/04/2025,delux,2784,1,walk-in,CANCELLED,Paid,Credit Card,Rs 501.12, 200.67 ,Mumba,maharashtra,India
BKG000011,HTL037,CUST02362,SUNITA AGARWAL,sunita.agarwal@mail.com,9074-436-023,24/02/2024,2024-09-10,2024-09-13,DELUXE,"2,523.00",2,Web Site,Confirmed,PAID,NET BANKING,454.14,INR439.07,Bangloree,Karnataka,India
BKG000012,HTL041,CUST20233,priya shah,priya.shah@outlook.com,+917276179480,"January 18, 2024",05-06-2024,"June 17, 2024",STD,"""1384""",3,AGODA,No-show,paidd,Net Banking,249.12,104.03,Kolkota,West Bengal,India
BKG000013,HTL044,CUST04343,Vikas Joshi,VIKAS.JOSHI@YAHOO.COM,9600884474,"February 26, 2024",03/10/24,10/10/2024,executive,Rs 3821,6,OTA-MMT,cancel,Pending,Net Bankng,687.78,613.14,Bombay,Maharashtra,India
BKG000014,HTL035,CUST52099,rohit khanna,NA,,27/03/24,"October 19, 2024",31 Oct 2024,EXECUTIVE, 3406 ,6,walk-in,Confirmed,PAID,debit card,613,267.74,Bengaluru,KARNATAKA,India
BKG000015,HTL030,CUST43066,POOJA KAPOOR,pooja.kapoor@mail.com,N/A,2024-10-10,2025-01-24,2025-01-28,  Deluxe,null,1,Booking.com,CONFIRMED,FAILED,Wallt,Rs 496.98,286,bengaluru,Karnataka,India
BKG000016,HTL003,CUST69943,Uma Pillai,uma.pillai@gmail,8336113711,30/09/24,10/04/2024,10/17/2024,Standard,"""1284""",5,APP,CANCEL,paid,NET BANKING,231.12,INR242.11,Chennai,TamilNadu,India
BKG000017,HTL021,CUST41506,Pooja Joshi,pooja.joshi@mail,8494667201,06/10/24,2025-02-16,2025-03-02,Standerd,"1,408.00",6,Booking.com,cnfrmd,Paid,Crdit Card,253.44,Rs 91.22,Hyd,TELANGANA,India
BKG000018,HTL015,CUST63957,Lata  Joshi,LATA.JOSHI@OUTLOOK.COM,+919423570041,20/02/2025,2025-05-07,14 May 2025,Standerd,1712.00,5,BOOKING.COM,No-show,P A I D,Debit Card, 308.16 ,303.79,Bengaluru,KARNATAKA,India
BKG000019,HTL002,CUST04706,Meera Mehta,meera.mehta@gmail.com,7827101232,"May 17, 2024",26-05-2024,2024-06-06,deluxe , 2262 ,1,BOOKING.COM,cnfrmd,Pai d,NET BANKING,407.16, 210.21 ,KOLKATA,W Bengal,India
BKG000020,HTL002,CUST30772,Rajesh Pillai,rajesh.pillai@mail.com,83057O4724,28/01/24,2024-06-08,06/15/2024,SUITE, 4881 ,4,Booking.com,confirmed,Pending,upi,878,872.56,Hyderabad,telangana,India
BKG000021,HTL029,CUST37668,  Vikram Bajaj,vikram.bajaj@outlook,8771290350,07/10/24,"April 23, 2025",29-04-2025,dELuxE,2333.00,3,makemytrip,Canceled,PAID,net banking,Rs 419.94,INR128.81,CHENNAI,Tamil Nadu,India
BKG000022,HTL048,CUST11847,Sonia  Kapoor,sonia.kapoor@outlook.com,+91-84920 64411,"August 23, 2024",25-03-2025,06 Apr 2025,deluxe ,2313,5,OTA-MakeMyTrip,NO SHOW,paidd,upi,416.34, 69.77 ,DELHI,NCT Delhi,India
BKG000023,HTL002,CUST12904,Sarita Roy,sarita..roy@hotmail.com,65110O1254,13 Apr 2024,"February 07, 2025","February 12, 2025",Standard ,INR1383,6,OTA-MMT,Confirmed,Pendig,Netbanking,248.94,,HYDERABAD,telangana,India
BKG000024,HTL039,CUST13174,Kiran Patel,kiran.patel@mail,61140O3471,10/11/24,"December 31, 2024",12 Jan 2025,Standard,1254,5,WebSite,Confirm,Pending,Debit Card, 225.72 ,247.65,Bombay,Maharashtra,India
BKG000025,HTL005,CUST39252,SONIA CHOPRA,sonia.chopra@mail,INVALID,27 Aug 2023,12/05/24,05/14/2024,Suites,5177,4,Website,CONFIRMED,paidd,Wallet, 931.86 ,850.56,Hyd,Telangana,India
BKG000026,HTL050,CUST06029,Maya Tiwari,MAYA.TIWARI@MAIL.COM,9530-768-102,16/09/2024,14/05/2025,28/05/2025,Suites,5310,6,BOOKING.COM,Confirm,PAId,Net Bankng,,INR933.62,KOLKATA,W Bengal,India
